,ID,State,Constituency,S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Winner,Margin
0.0,U011001,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1.0,BISHNU PADA RAY,Bharatiya Janata Party,102182.0,254.0,102436.0,50.58,True,24396
1.0,U011002,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2.0,KULDEEP RAI SHARMA,Indian National Congress,77829.0,211.0,78040.0,38.54,False,-24396
2.0,U011003,Andaman & Nicobar Islands,Andaman & Nicobar Islands,3.0,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236.0,18.0,8254.0,4.08,False,-94182
3.0,U011004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,4.0,D AYYAPPAN,Communist Party of India  (Marxist),6009.0,8.0,6017.0,2.97,False,-96419
4.0,U011005,Andaman & Nicobar Islands,Andaman & Nicobar Islands,5.0,V.K. ABDUL AZIZ,Independent,2195.0,8.0,2203.0,1.09,False,-100233
5.0,U011006,Andaman & Nicobar Islands,Andaman & Nicobar Islands,6.0,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911.0,3.0,914.0,0.45,False,-101522
6.0,U011007,Andaman & Nicobar Islands,Andaman & Nicobar Islands,7.0,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714.0,5.0,719.0,0.36,False,-101717
7.0,U011008,Andaman & Nicobar Islands,Andaman & Nicobar Islands,8.0,RINKU MALA MONDAL,Independent,539.0,3.0,542.0,0.27,False,-101894
8.0,U011009,Andaman & Nicobar Islands,Andaman & Nicobar Islands,9.0,K VENKAT RAM BABU,Independent,506.0,1.0,507.0,0.25,False,-101929
9.0,U011010,Andaman & Nicobar Islands,Andaman & Nicobar Islands,10.0,USHA KUMARI,Independent,378.0,2.0,380.0,0.19,False,-102056
10.0,U011011,Andaman & Nicobar Islands,Andaman & Nicobar Islands,11.0,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349.0,2.0,351.0,0.17,False,-102085
11.0,U011012,Andaman & Nicobar Islands,Andaman & Nicobar Islands,12.0,ANAND RAMNATH ARLEKAR,Independent,342.0,,342.0,0.17,False,-102094
12.0,U011013,Andaman & Nicobar Islands,Andaman & Nicobar Islands,13.0,NOTA,None of the Above,1802.0,7.0,1809.0,0.89,False,-100627
13.0,S011001,Andhra Pradesh,Araku (ST),1.0,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470.0,5535.0,477005.0,40.96,True,50580
14.0,S011002,Andhra Pradesh,Araku (ST),2.0,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113.0,9312.0,426425.0,36.62,False,-50580
15.0,S011003,Andhra Pradesh,Araku (ST),3.0,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016.0,4113.0,123129.0,10.57,False,-353876
16.0,S011004,Andhra Pradesh,Araku (ST),4.0,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858.0,892.0,25750.0,2.21,False,-451255
17.0,S011005,Andhra Pradesh,Araku (ST),5.0,SAMAREDDY BALAKRISHNA,Independent,9493.0,42.0,9535.0,0.82,False,-467470
18.0,S011006,Andhra Pradesh,Araku (ST),6.0,NIMMAKA JAYARAJU,Independent,8798.0,664.0,9462.0,0.81,False,-467543
19.0,S011007,Andhra Pradesh,Araku (ST),7.0,ATHIDHI,Independent,8121.0,15.0,8136.0,0.7,False,-468869
20.0,S011008,Andhra Pradesh,Araku (ST),8.0,CHANTI BADNAINA,Jai Bharat National Party,7205.0,47.0,7252.0,0.62,False,-469753
21.0,S011009,Andhra Pradesh,Araku (ST),9.0,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370.0,396.0,6766.0,0.58,False,-470239
22.0,S011010,Andhra Pradesh,Araku (ST),10.0,RANJITH KUMAR PALAKA,Independent,6000.0,47.0,6047.0,0.52,False,-470958
23.0,S011011,Andhra Pradesh,Araku (ST),11.0,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933.0,26.0,4959.0,0.43,False,-472046
24.0,S011012,Andhra Pradesh,Araku (ST),12.0,MANDALA GIRIDHARA RAO,Independent,4931.0,36.0,4967.0,0.43,False,-472038
25.0,S011013,Andhra Pradesh,Araku (ST),13.0,VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4500.0,42.0,4542.0,0.39,False,-472463
26.0,S011014,Andhra Pradesh,Araku (ST),14.0,NOTA,None of the Above,50205.0,265.0,50470.0,4.33,False,-426535
27.0,S012001,Andhra Pradesh,Srikakulam,1.0,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501.0,19827.0,754328.0,61.05,True,327901
28.0,S012002,Andhra Pradesh,Srikakulam,2.0,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,420394.0,6033.0,426427.0,34.51,False,-327901
29.0,S012003,Andhra Pradesh,Srikakulam,3.0,PEDADA PARAMESWARA RAO,Indian National Congress,6724.0,448.0,7172.0,0.58,False,-747156
30.0,S012004,Andhra Pradesh,Srikakulam,4.0,SANAPALA SRAVAN KUMAR,Independent,5950.0,8.0,5958.0,0.48,False,-748370
31.0,S012005,Andhra Pradesh,Srikakulam,5.0,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4661.0,81.0,4742.0,0.38,False,-749586
32.0,S012006,Andhra Pradesh,Srikakulam,6.0,VABA YOGESWARA RAO,Independent,3472.0,126.0,3598.0,0.29,False,-750730
33.0,S012007,Andhra Pradesh,Srikakulam,7.0,BETHA VIVEKANANDA MAHARAJ,Independent,2523.0,13.0,2536.0,0.21,False,-751792
34.0,S012008,Andhra Pradesh,Srikakulam,8.0,YEDDU LAKSHMINARAYANA,Independent,1598.0,7.0,1605.0,0.13,False,-752723
35.0,S012009,Andhra Pradesh,Srikakulam,9.0,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1315.0,42.0,1357.0,0.11,False,-752971
36.0,S012010,Andhra Pradesh,Srikakulam,10.0,IPPILI SEETHARAJU,Jai Bharat National Party,1080.0,50.0,1130.0,0.09,False,-753198
37.0,S012011,Andhra Pradesh,Srikakulam,11.0,KAYA DURGARAO,Navarang Congress Party,811.0,7.0,818.0,0.07,False,-753510
38.0,S012012,Andhra Pradesh,Srikakulam,12.0,CHELLURI DANIYAL,Independent,796.0,20.0,816.0,0.07,False,-753512
39.0,S012013,Andhra Pradesh,Srikakulam,13.0,BOMMALI TIRUPATI RAO,Pyramid Party of India,589.0,5.0,594.0,0.05,False,-753734
40.0,S012014,Andhra Pradesh,Srikakulam,14.0,NOTA,None of the Above,24498.0,107.0,24605.0,1.99,False,-729723
41.0,S013001,Andhra Pradesh,Vizianagaram,1.0,APPALANAIDU KALISETTI,Telugu Desam,729284.0,13829.0,743113.0,57.2,True,249351
42.0,S013002,Andhra Pradesh,Vizianagaram,2.0,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,487691.0,6071.0,493762.0,38.0,False,-249351
43.0,S013003,Andhra Pradesh,Vizianagaram,3.0,BOBBILI SRINU,Indian National Congress,10270.0,353.0,10623.0,0.82,False,-732490
44.0,S013004,Andhra Pradesh,Vizianagaram,4.0,PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,7985.0,53.0,8038.0,0.62,False,-735075
45.0,S013005,Andhra Pradesh,Vizianagaram,5.0,VELURI VENKATA TRINADHARAO,Independent,4146.0,6.0,4152.0,0.32,False,-738961
46.0,S013006,Andhra Pradesh,Vizianagaram,6.0,ALLU SRIRAMULU,Independent,3396.0,5.0,3401.0,0.26,False,-739712
47.0,S013007,Andhra Pradesh,Vizianagaram,7.0,SIYYADULA YELLA RAO,Independent,3105.0,2.0,3107.0,0.24,False,-740006
48.0,S013008,Andhra Pradesh,Vizianagaram,8.0,SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1758.0,3.0,1761.0,0.14,False,-741352
49.0,S013009,Andhra Pradesh,Vizianagaram,9.0,MARISERLA KRISHNAMURTHY NAIDU,Independent,1617.0,12.0,1629.0,0.13,False,-741484
50.0,S013010,Andhra Pradesh,Vizianagaram,10.0,VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1544.0,9.0,1553.0,0.12,False,-741560
51.0,S013011,Andhra Pradesh,Vizianagaram,11.0,CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,1401.0,10.0,1411.0,0.11,False,-741702
52.0,S013012,Andhra Pradesh,Vizianagaram,12.0,ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,1059.0,11.0,1070.0,0.08,False,-742043
53.0,S013013,Andhra Pradesh,Vizianagaram,13.0,ADINARAYANA TADDI,Independent,855.0,1.0,856.0,0.07,False,-742257
54.0,S013014,Andhra Pradesh,Vizianagaram,14.0,P V A ANANDA SAGAR,Independent,787.0,4.0,791.0,0.06,False,-742322
55.0,S013015,Andhra Pradesh,Vizianagaram,15.0,SAKHINETI ANANTHA RAJU,Pyramid Party of India,715.0,10.0,725.0,0.06,False,-742388
56.0,S013016,Andhra Pradesh,Vizianagaram,16.0,NOTA,None of the Above,23097.0,153.0,23250.0,1.79,False,-719863
57.0,S014001,Andhra Pradesh,Visakhapatnam,1.0,SRIBHARAT MATHUKUMILI,Telugu Desam,893884.0,13583.0,907467.0,65.42,True,504247
58.0,S014002,Andhra Pradesh,Visakhapatnam,2.0,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,397821.0,5399.0,403220.0,29.07,False,-504247
59.0,S014003,Andhra Pradesh,Visakhapatnam,3.0,P. SATYA REDDY,Indian National Congress,29430.0,837.0,30267.0,2.18,False,-877200
60.0,S014004,Andhra Pradesh,Visakhapatnam,4.0,K.A. PAUL,Praja Shanthi Party,7529.0,167.0,7696.0,0.55,False,-899771
61.0,S014005,Andhra Pradesh,Visakhapatnam,5.0,PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,6006.0,85.0,6091.0,0.44,False,-901376
62.0,S014006,Andhra Pradesh,Visakhapatnam,6.0,BIKKAVOLU. CHALAMAJI,Navarang Congress Party,4883.0,1.0,4884.0,0.35,False,-902583
63.0,S014007,Andhra Pradesh,Visakhapatnam,7.0,V.N. SATYA NARAYANA,Rashtriya Praja Congress  (Secular),2534.0,3.0,2537.0,0.18,False,-904930
64.0,S014008,Andhra Pradesh,Visakhapatnam,8.0,ARUNA SRI MURALA,Independent,1991.0,2.0,1993.0,0.14,False,-905474
65.0,S014009,Andhra Pradesh,Visakhapatnam,9.0,VASUPILLI SURESH,Independent,1931.0,2.0,1933.0,0.14,False,-905534
66.0,S014010,Andhra Pradesh,Visakhapatnam,10.0,SONDI KRISHNA.,Independent,1811.0,7.0,1818.0,0.13,False,-905649
67.0,S014011,Andhra Pradesh,Visakhapatnam,11.0,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,1098.0,11.0,1109.0,0.08,False,-906358
68.0,S014012,Andhra Pradesh,Visakhapatnam,12.0,DR. GANAPATHI KONGARAPU.,Republican Party of India (A),944.0,6.0,950.0,0.07,False,-906517
69.0,S014013,Andhra Pradesh,Visakhapatnam,13.0,BANNA. RAMESH,Dalita Bahujana Party,941.0,7.0,948.0,0.07,False,-906519
70.0,S014014,Andhra Pradesh,Visakhapatnam,14.0,P. SATYA VANI,Pyramid Party of India,875.0,7.0,882.0,0.06,False,-906585
71.0,S014015,Andhra Pradesh,Visakhapatnam,15.0,DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,760.0,7.0,767.0,0.06,False,-906700
72.0,S014016,Andhra Pradesh,Visakhapatnam,16.0,CHAPPIDI RAMU,Independent,756.0,1.0,757.0,0.05,False,-906710
73.0,S014017,Andhra Pradesh,Visakhapatnam,17.0,M.G.M. KHAN,Independent,738.0,4.0,742.0,0.05,False,-906725
74.0,S014018,Andhra Pradesh,Visakhapatnam,18.0,SHANKAR DEVARA YADAV,Independent,656.0,5.0,661.0,0.05,False,-906806
75.0,S014019,Andhra Pradesh,Visakhapatnam,19.0,VENU MADHAV KARRI,Independent,646.0,1.0,647.0,0.05,False,-906820
76.0,S014020,Andhra Pradesh,Visakhapatnam,20.0,DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,628.0,10.0,638.0,0.05,False,-906829
77.0,S014021,Andhra Pradesh,Visakhapatnam,21.0,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,628.0,5.0,633.0,0.05,False,-906834
78.0,S014022,Andhra Pradesh,Visakhapatnam,22.0,PIDIDHI APPARAO,Independent,576.0,4.0,580.0,0.04,False,-906887
79.0,S014023,Andhra Pradesh,Visakhapatnam,23.0,G.A.N. ANAND,Independent,543.0,,543.0,0.04,False,-906924
80.0,S014024,Andhra Pradesh,Visakhapatnam,24.0,VADDI. HARI GANESH,Independent,518.0,2.0,520.0,0.04,False,-906947
81.0,S014025,Andhra Pradesh,Visakhapatnam,25.0,JANARDHAN PONNADA.,Independent,499.0,1.0,500.0,0.04,False,-906967
82.0,S014026,Andhra Pradesh,Visakhapatnam,26.0,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,494.0,6.0,500.0,0.04,False,-906967
83.0,S014027,Andhra Pradesh,Visakhapatnam,27.0,JALADI VIJAYA KUMARI,Samajwadi Party,463.0,3.0,466.0,0.03,False,-907001
84.0,S014028,Andhra Pradesh,Visakhapatnam,28.0,CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,443.0,5.0,448.0,0.03,False,-907019
85.0,S014029,Andhra Pradesh,Visakhapatnam,29.0,GANDIKOTA RAJESH,Navataram Party,392.0,1.0,393.0,0.03,False,-907074
86.0,S014030,Andhra Pradesh,Visakhapatnam,30.0,KOLLI NAGA RAJU,Independent,322.0,7.0,329.0,0.02,False,-907138
87.0,S014031,Andhra Pradesh,Visakhapatnam,31.0,METTA RAMA RAO,Independent,320.0,6.0,326.0,0.02,False,-907141
88.0,S014032,Andhra Pradesh,Visakhapatnam,32.0,LAGUDU. GOVINDA RAO,Independent,293.0,1.0,294.0,0.02,False,-907173
89.0,S014033,Andhra Pradesh,Visakhapatnam,33.0,MALLA SRAVANI,Independent,271.0,2.0,273.0,0.02,False,-907194
90.0,S014034,Andhra Pradesh,Visakhapatnam,34.0,NOTA,None of the Above,5171.0,142.0,5313.0,0.38,False,-902154
91.0,S015001,Andhra Pradesh,Anakapalle,1.0,C.M.RAMESH,Bharatiya Janata Party,750027.0,12042.0,762069.0,57.5,True,296530
92.0,S015002,Andhra Pradesh,Anakapalle,2.0,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762.0,5777.0,465539.0,35.13,False,-296530
93.0,S015003,Andhra Pradesh,Anakapalle,3.0,VEGI VENKATESH,Indian National Congress,24833.0,818.0,25651.0,1.94,False,-736418
94.0,S015004,Andhra Pradesh,Anakapalle,4.0,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082.0,75.0,19157.0,1.45,False,-742912
95.0,S015005,Andhra Pradesh,Anakapalle,5.0,VANKAYALA RAMACHANDRA RAO,Independent,4001.0,1.0,4002.0,0.3,False,-758067
96.0,S015006,Andhra Pradesh,Anakapalle,6.0,LOVARAJU SIDDHA,Independent,3845.0,7.0,3852.0,0.29,False,-758217
97.0,S015007,Andhra Pradesh,Anakapalle,7.0,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549.0,8.0,3557.0,0.27,False,-758512
98.0,S015008,Andhra Pradesh,Anakapalle,8.0,GARA SURYA RAO,Independent,3116.0,8.0,3124.0,0.24,False,-758945
99.0,S015009,Andhra Pradesh,Anakapalle,9.0,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589.0,30.0,2619.0,0.2,False,-759450
100.0,S015010,Andhra Pradesh,Anakapalle,10.0,NAGESWARA RAO PETLA,Independent,2179.0,5.0,2184.0,0.16,False,-759885
101.0,S015011,Andhra Pradesh,Anakapalle,11.0,ADARI SARAT CHANDRA,Jai Bharat National Party,1886.0,27.0,1913.0,0.14,False,-760156
102.0,S015012,Andhra Pradesh,Anakapalle,12.0,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578.0,13.0,1591.0,0.12,False,-760478
103.0,S015013,Andhra Pradesh,Anakapalle,13.0,DR. THUMMAPALA HARI  SHANKAR,Independent,1567.0,9.0,1576.0,0.12,False,-760493
104.0,S015014,Andhra Pradesh,Anakapalle,14.0,JUNNURI J SRINIVAS,Independent,1195.0,6.0,1201.0,0.09,False,-760868
105.0,S015015,Andhra Pradesh,Anakapalle,15.0,APPALANAIDU TUMMAGUNTA,Independent,1055.0,7.0,1062.0,0.08,False,-761007
106.0,S015016,Andhra Pradesh,Anakapalle,16.0,NOTA,None of the Above,26084.0,151.0,26235.0,1.98,False,-735834
107.0,S016001,Andhra Pradesh,Kakinada,1.0,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,718971.0,10728.0,729699.0,54.87,True,229491
108.0,S016002,Andhra Pradesh,Kakinada,2.0,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,495188.0,5020.0,500208.0,37.62,False,-229491
109.0,S016003,Andhra Pradesh,Kakinada,3.0,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,20258.0,851.0,21109.0,1.59,False,-708590
110.0,S016004,Andhra Pradesh,Kakinada,4.0,UDAY,Navarang Congress Party,15578.0,125.0,15703.0,1.18,False,-713996
111.0,S016005,Andhra Pradesh,Kakinada,5.0,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11916.0,63.0,11979.0,0.9,False,-717720
112.0,S016006,Andhra Pradesh,Kakinada,6.0,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9818.0,36.0,9854.0,0.74,False,-719845
113.0,S016007,Andhra Pradesh,Kakinada,7.0,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6516.0,43.0,6559.0,0.49,False,-723140
114.0,S016008,Andhra Pradesh,Kakinada,8.0,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3924.0,3.0,3927.0,0.3,False,-725772
115.0,S016009,Andhra Pradesh,Kakinada,9.0,BUGATHA BANGARRAO,Communist Party of India  (Marxist-Leninist)  (Liberation),2816.0,7.0,2823.0,0.21,False,-726876
116.0,S016010,Andhra Pradesh,Kakinada,10.0,SUDHA VEERA GANESH,Independent,2645.0,2.0,2647.0,0.2,False,-727052
117.0,S016011,Andhra Pradesh,Kakinada,11.0,BHAVANI SANKAR PRASAD MERLA,Independent,1963.0,6.0,1969.0,0.15,False,-727730
118.0,S016012,Andhra Pradesh,Kakinada,12.0,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1762.0,18.0,1780.0,0.13,False,-727919
119.0,S016013,Andhra Pradesh,Kakinada,13.0,BODDETI APPARAO,Independent,1687.0,,1687.0,0.13,False,-728012
120.0,S016014,Andhra Pradesh,Kakinada,14.0,NEELAKANTAM DONAM,Independent,1401.0,11.0,1412.0,0.11,False,-728287
121.0,S016015,Andhra Pradesh,Kakinada,15.0,PASUPULETI S.V.S.BHUSHANAM,Independent,1222.0,5.0,1227.0,0.09,False,-728472
122.0,S016016,Andhra Pradesh,Kakinada,16.0,NOTA,None of the Above,17105.0,115.0,17220.0,1.29,False,-712479
123.0,S017001,Andhra Pradesh,Amalapuram (SC),1.0,G M HARISH (BALAYOGI),Telugu Desam,786149.0,10832.0,796981.0,61.25,True,342196
124.0,S017002,Andhra Pradesh,Amalapuram (SC),2.0,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362.0,4423.0,454785.0,34.95,False,-342196
125.0,S017003,Andhra Pradesh,Amalapuram (SC),3.0,GOUTHAM JANGA,Indian National Congress,14523.0,559.0,15082.0,1.16,False,-781899
126.0,S017004,Andhra Pradesh,Amalapuram (SC),4.0,DORABABU YALLA,Bahujan Samaj Party,5202.0,186.0,5388.0,0.41,False,-791593
127.0,S017005,Andhra Pradesh,Amalapuram (SC),5.0,KATRU NAGA BABU,Telugu Nava Garjana Party,3736.0,5.0,3741.0,0.29,False,-793240
128.0,S017006,Andhra Pradesh,Amalapuram (SC),6.0,VADDI LALITH KUMAR,Independent,2974.0,3.0,2977.0,0.23,False,-794004
129.0,S017007,Andhra Pradesh,Amalapuram (SC),7.0,MAKEY DAVY PRASAD,Independent,2104.0,7.0,2111.0,0.16,False,-794870
130.0,S017008,Andhra Pradesh,Amalapuram (SC),8.0,GUDE VENKATESWARULU,Independent,1741.0,4.0,1745.0,0.13,False,-795236
131.0,S017009,Andhra Pradesh,Amalapuram (SC),9.0,RAMESH JILLELLA,Jatiya Jana Sena Party,866.0,6.0,872.0,0.07,False,-796109
132.0,S017010,Andhra Pradesh,Amalapuram (SC),10.0,YALANGI RAMESH,Jaibhim Rao Bharat Party,738.0,2.0,740.0,0.06,False,-796241
133.0,S017011,Andhra Pradesh,Amalapuram (SC),11.0,MATHA KRISHNA,Pyramid Party of India,718.0,1.0,719.0,0.06,False,-796262
134.0,S017012,Andhra Pradesh,Amalapuram (SC),12.0,GIDDI JNANA PRAKASA RAO,Republican Party of India,717.0,9.0,726.0,0.06,False,-796255
135.0,S017013,Andhra Pradesh,Amalapuram (SC),13.0,YADLA RAJESH,Liberation Congress Party,628.0,7.0,635.0,0.05,False,-796346
136.0,S017014,Andhra Pradesh,Amalapuram (SC),14.0,KAPA KALYAN,Republican Party of India (A),579.0,2.0,581.0,0.04,False,-796400
137.0,S017015,Andhra Pradesh,Amalapuram (SC),15.0,PATHURI RAMESH,Peoples Party of India (Democratic),502.0,3.0,505.0,0.04,False,-796476
138.0,S017016,Andhra Pradesh,Amalapuram (SC),16.0,NOTA,None of the Above,13418.0,100.0,13518.0,1.04,False,-783463
139.0,S018001,Andhra Pradesh,Rajahmundry,1.0,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,718641.0,7874.0,726515.0,54.82,True,239139
140.0,S018002,Andhra Pradesh,Rajahmundry,2.0,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,483172.0,4204.0,487376.0,36.77,False,-239139
141.0,S018003,Andhra Pradesh,Rajahmundry,3.0,GIDUGU RUDRARAJU,Indian National Congress,31441.0,1067.0,32508.0,2.45,False,-694007
142.0,S018004,Andhra Pradesh,Rajahmundry,4.0,GANESWARA RAO PARAMATA,Bahujan Samaj Party,20277.0,132.0,20409.0,1.54,False,-706106
143.0,S018005,Andhra Pradesh,Rajahmundry,5.0,BATTULA BALARAMAKRISHNA,Navarang Congress Party,16930.0,78.0,17008.0,1.28,False,-709507
144.0,S018006,Andhra Pradesh,Rajahmundry,6.0,SALOPANTULA RAGHAVENDRA RAO,Independent,3261.0,17.0,3278.0,0.25,False,-723237
145.0,S018007,Andhra Pradesh,Rajahmundry,7.0,DR. MEDISI RATNARAO ALIAS VINAY,Independent,3109.0,6.0,3115.0,0.24,False,-723400
146.0,S018008,Andhra Pradesh,Rajahmundry,8.0,MOHANARAO SINGULURI,Jai Bharat National Party,2818.0,15.0,2833.0,0.21,False,-723682
147.0,S018009,Andhra Pradesh,Rajahmundry,9.0,MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular),2422.0,7.0,2429.0,0.18,False,-724086
148.0,S018010,Andhra Pradesh,Rajahmundry,10.0,BOMMANABOINA VSR MURTHY,Independent,2173.0,6.0,2179.0,0.16,False,-724336
149.0,S018011,Andhra Pradesh,Rajahmundry,11.0,BHANU CHANDAR KURUVELLA,Independent,1955.0,3.0,1958.0,0.15,False,-724557
150.0,S018012,Andhra Pradesh,Rajahmundry,12.0,JALLI BALA NAVEENA,Independent,1250.0,4.0,1254.0,0.09,False,-725261
151.0,S018013,Andhra Pradesh,Rajahmundry,13.0,NOTA,None of the Above,24302.0,133.0,24435.0,1.84,False,-702080
152.0,S019001,Andhra Pradesh,Narsapuram,1.0,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382.0,7961.0,707343.0,57.46,True,276802
153.0,S019002,Andhra Pradesh,Narsapuram,2.0,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,426037.0,4504.0,430541.0,34.98,False,-276802
154.0,S019003,Andhra Pradesh,Narsapuram,3.0,K.B.R.NAIDU,Indian National Congress,34298.0,915.0,35213.0,2.86,False,-672130
155.0,S019004,Andhra Pradesh,Narsapuram,4.0,PRASANNA KUMAR UNDURTHI,Independent,6350.0,14.0,6364.0,0.52,False,-700979
156.0,S019005,Andhra Pradesh,Narsapuram,5.0,MEDAPATI VENKATA VARAHALA REDDY,Independent,5966.0,3.0,5969.0,0.48,False,-701374
157.0,S019006,Andhra Pradesh,Narsapuram,6.0,SIRRA RAJU,Bahujan Samaj Party,5945.0,69.0,6014.0,0.49,False,-701329
158.0,S019007,Andhra Pradesh,Narsapuram,7.0,BALAGAM NAYAKAR,Independent,5232.0,8.0,5240.0,0.43,False,-702103
159.0,S019008,Andhra Pradesh,Narsapuram,8.0,NALLI RAJESH,Independent,4684.0,,4684.0,0.38,False,-702659
160.0,S019009,Andhra Pradesh,Narsapuram,9.0,KETHA SREENU,Independent,3140.0,5.0,3145.0,0.26,False,-704198
161.0,S019010,Andhra Pradesh,Narsapuram,10.0,OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,3112.0,4.0,3116.0,0.25,False,-704227
162.0,S019011,Andhra Pradesh,Narsapuram,11.0,ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,2781.0,2.0,2783.0,0.23,False,-704560
163.0,S019012,Andhra Pradesh,Narsapuram,12.0,ANAND CHANDULAL JASTI,Independent,2726.0,,2726.0,0.22,False,-704617
164.0,S019013,Andhra Pradesh,Narsapuram,13.0,GANJI PURNIMA,Republican Party of India (A),1645.0,4.0,1649.0,0.13,False,-705694
165.0,S019014,Andhra Pradesh,Narsapuram,14.0,GEDALA LAXMANA RAO,Independent,1525.0,2.0,1527.0,0.12,False,-705816
166.0,S019015,Andhra Pradesh,Narsapuram,15.0,ADDANKI DORABABU,Independent,1388.0,5.0,1393.0,0.11,False,-705950
167.0,S019016,Andhra Pradesh,Narsapuram,16.0,GOTTUMUKKALA SHIVAJI,Independent,1378.0,6.0,1384.0,0.11,False,-705959
168.0,S019017,Andhra Pradesh,Narsapuram,17.0,ADINARAYANA DUPPANAPUDI,Independent,1002.0,5.0,1007.0,0.08,False,-706336
169.0,S019018,Andhra Pradesh,Narsapuram,18.0,MANNE LEELA RAMA NARENDRA,Pyramid Party of India,922.0,8.0,930.0,0.08,False,-706413
170.0,S019019,Andhra Pradesh,Narsapuram,19.0,RAMA DURGA PRASAD THOLETI,Independent,919.0,1.0,920.0,0.07,False,-706423
171.0,S019020,Andhra Pradesh,Narsapuram,20.0,RUKHMINI,Independent,683.0,3.0,686.0,0.06,False,-706657
172.0,S019021,Andhra Pradesh,Narsapuram,21.0,ADABALA SIVA,Independent,682.0,1.0,683.0,0.06,False,-706660
173.0,S019022,Andhra Pradesh,Narsapuram,22.0,NOTA,None of the Above,7554.0,123.0,7677.0,0.62,False,-699666
174.0,S0110001,Andhra Pradesh,Eluru,1.0,PUTTA MAHESH KUMAR,Telugu Desam,737644.0,8707.0,746351.0,54.0,True,181857
175.0,S0110002,Andhra Pradesh,Eluru,2.0,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318.0,5176.0,564494.0,40.84,False,-181857
176.0,S0110003,Andhra Pradesh,Eluru,3.0,KAVURI LAVANYA,Indian National Congress,19820.0,1006.0,20826.0,1.51,False,-725525
177.0,S0110004,Andhra Pradesh,Eluru,4.0,AJAY BABU BODA,Navarang Congress Party,12197.0,13.0,12210.0,0.88,False,-734141
